date,nondepressed,depressed
20-Mar,2083,4201
27-Mar,3057,5006
10-Apr,2723,4670
17-Apr,3116,5430
24-Apr,4734,5594
01-May,5021,5725
08-May,4921,5576
15-May,5210,5540
22-May,4928,5391
29-May,4017,5110
05-Jun,4236,5137
12-Jun,4344,4959
19-Jun,4393,4922
26-Jun,4113,4961
03-Jul,4204,4808
10-Jul,4273,5101
17-Jul,4304,5071
24-Jul,4442,5385
31-Jul,4507,5250
07-Aug,4489,5242
14-Aug,4076,4378
21-Aug,4023,4484
28-Aug,3939,4631
04-Sep,4692,5339
11-Sep,4390,5530
18-Sep,4812,5739
25-Sep,4779,5406
02-Oct,3963,5024
09-Oct,4099,4983