,0
0,RT @BDUTT: Yesterday I questioned wisdom of parliament continuing while everything else was shutting down. And trolls pounced. Sad to have…
1,RT @babyyyputa: Literally @Starbucks to employees affected in corona virus areas. https://t.co/hX4KyuqCTO
2,RT @VDPAssociates: Astounding death tally in Europe and Iran.Most likely Communist China faked its data.Indian authorities should be ruthle…
3,"@itsdanielleruss Big fan Hope Mikaelson 🥰🥰 i m from India 🇮🇳 , Corona virus is most affected virus in many countries and you also stay safe and take care 😘😘"
4,"RT @tinaishematope: Not a Gaddafi fanboy, but he knew how the principalities of darkness operate."
5,"RT @basak_rimpa: Death due to corona virus

Wrapped in a bag, can't be bathed.Can't bring the body home, the family can't touch the body an…"
6,RT @INDIEWASHERE: ppl are literally are fighting to death to get the last scrap of toilet paper to wipe their ass and for diapers and celeb…
7,"@BruceWilliams__ neither, because the handle individual cases. somebody ""curing"" corona would be a researcher or an epidemiologist.. we adore having 1 on 1 heros, but the real heroes will be the ppl House constantly aggravates.. he would probably be the first to say: I cannot really contribute"
8,"RT @Angry_Voice: And now, the rabid Tory propagandists suddenly care about the innocent victims of savage Tory welfare reforms, purely beca…"
9,RT @sankrant: According to this Muslim woman Corona virus comes from the Quran. It is a Qurana virus which will not affect Muslims (because…
10,RT @ntsikimazwai: If Corona was affecting black people we would be seeing sick africans all over the newspapers 🤔
11,RT @Princemudi_: This Corona virus has proven one thing. It takes God nothing to wipe off everything and everyone from the face of this Ear…
12,"RT @paulajaynebyrne: just to clarify, I don't have Corona virus; just a heart attack.  but am feeling better. Too much stress in my life. I…"
13,RT @Patwreid: @albericie So teachers are spared the risk while babysitters are expendable? I understand the anxiety. I don’t know the answe…
14,"im nervous fuckkk, napaos ako for no reason and now im contemplating if shit... did i really let corona enter my body https://t.co/Q6lqjXuT0S"
15,"RT @atuleshkhantwal: @sudhirchaudhary Prevent from corona, but also be effortive to build strong immunity. our immunity 90 percent depend o…"
16,RT @_SJPeace_: Iran is facing a Corona virus Catastrophe due to U.S sanctions which are preventing the import of much needed medicine and m…
17,@TeamJuJu Ab said he wants you get to get get corona on his burner account. Shits sad
18,"Corona Deaths Italy:
22.02.:   2      x 10 in 7 days 
29.02.:   29    x 10 in  7 days
08.03.:   366  x 10 in  7 days [15.03. 3.660 Deaths; ]
19.03.:   3500 -in reality 11 days later...
#COVID19 #Coronakrise #COVID2019 #COVID19de #COVID19deutschland #wirbleibenzuhause #WirvsVirus"
19,RT @SAFCjt97: When corona virus attempts to enter my body
20,"As corona virus life at one place is 12 hrs and curfew is for 14 hrs so the places  or points of public areas where  corona may live will not be touched for 14 hrs will break the chain . 
*What we get  after 14 hrs will be a safe country. This is the basic Idea behind This. https://t.co/PNY5TYYRcU"
21,This corona virus is bad for my anxiety.
22,The only thing getting fucked during this corona break is my mental health:/
23,Boris Johnson: Supporting an Emergency Universal Basic Income during the Corona Crisis - Sign the Petition! https://t.co/gpbt3LupgC via @UKChange
24,"RT @_SJPeace_: China built an entire Hospital with thousands of beds in 10 DAYS to cope with Corona Virus outbreak. 

Meanwhile in America…"
25,@hellen_mathibe 😂😂😂😂😂 Corona is Killing everything
26,"#nina_GAupdates 

because of the corona virus and the quarantine lockdown stuff (i am affected by the lockdown), ALL GA prizes that are stated 'ARRIVED' in the spreadsheet will be delayed for shipping :( please understand!! 💗"
27,"RT @dxniro: Corona took my job, all the food, the people dem man, the summer, the body, the motives and now my throat feeling ticklish- htt…"
28,"RT @DilkashSobi: As entire world are feeling fear of death by the outbreak of epidemic corona. At this crucial time, world authorities need…"
29,"@Juliius_ @NepentheZ Tbf the company is also affected by Corona. Probably they don't have enough capacity for a big promo.
Some communication would be nice"
30,Number of virus-related deaths in Luxembourg climbs to 5. Coronavirus: COVID-19 https://t.co/opWcd46aiU
31,"@tonyIMHO @Qiangmyph @cebudailynews Umm..You probably need glasses? 
And even w/ the low death rate, after recovering from corona you're gonna have permanent 20% lung damage. Thats according to a study done in HK. If you're ok in facing these kinds of risk in your health, fine. But most people would prob'ly not be."
32,RT @lildundri: Why would I kill bill when I could kill Omar for this joke instead??
33,RT @SEACoronavirus: Indonesian MOH confirms 60 new #COVID19 cases and 7 deaths bringing the total to 369 confirmed cases and 32 deaths #cor…
34,@santanderukhelp hello. I see I can apply for a 3 month break on my mortgage if I am affected by the corona virus situation.I know the 3 payments will be added to the mortgage balance but does the arrangement involve paying additional interest cf paying those 3 months? 😊
35,"As bad as the situation is at the moment,there is sth good in my opinion.The reflection on what is really important. It is also good to be able to shut down your life a bit and forget the hectic pace of everyday life.Thx to all helpers who just can't do that these times. #Corona"
36,RT @cloakzy: I just want this corona shit to pass my anxiety is brutal 24/7
37,"Corona a fake SHUT THE FUCK UP Y'all don’t live with that nigga Y'all know that nigga got caught with a ratchet Shootin' at the police and shit Nigga been on probation since fuckin, I don’t know when! Motherfuckers stop fuckin' playin' him like that Them niggas savages out there"
38,"@WHO Does corona virus affect sea creatures also, if not, then what is different in their DNA which is not  in us."
39,"I felt like death back in February for weekS, if the coronavirus is worse then that ugh 😩 https://t.co/QSnAk7dlca"
40,Don't joke with such thing as Death. https://t.co/hOynLwfFg7
41,We don’t even need his stupid address. Will the corona virus disappear once he addresses the matter ? Because I don’t know how it has gotten to this point and a responsible president hasn’t addressed his nation . Tufiakwa https://t.co/GM11Ql9k61
42,"Everyone in my lab used to talk about corona daily that 'how condition is bad in China blah blah' and all that time i had put hands-free in my ears. Never knew that this shit is gonna affect my career in near future, lol"
43,"RT @AnimalandInter1: How Coronavirus Is Affecting Victims of Domestic Violence | Time #COVID19 #cornoravirus #domesticviolence 

https://t.…"
44,"Messing up our clean shit😢😢. Honestly how does one travel to an affected areas? Same place where people are self quarantining? People need to start thinking man, Goddamit.
#CoronaVirusUpdate https://t.co/LNw6SMb52n https://t.co/O74V4eiIOT"
45,"RT @PeterSweden7: Lombardy in Italy.

They have one of the best hospitals in the world.

They have a 9.2% death rate from corona virus.

Th…"
46,"RT @Khalach: Our attitude toward COVID-19 prove more destructive than the Corona Virus in Nigeria.

These include the fake news, anxiety, u…"
47,In the light of corona ima attempt to run a marathon for no reason
48,she alone will defeat corona https://t.co/ZY3xKEUS4d
49,@IamWasimQureshi @vikrantkumar @narendramodi @AmitShah Why don't u madrasachap celebrate in Iran?Thousands of Jeehadis dying everyday there due to Corona.
50,"Corona hit: disclosed in FICCI survey – 53% of businessmen believe, business will be affected https://t.co/zTI9Bf6Dlv https://t.co/OVzCe711tA"
51,"@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOWPRO @WHOSEARO @Refugees @UNOCHA @pahowho I want to give sacrifice for Corona virus vaccine trial for humanity.if any research lab want trial on human, I am ready."
52,RT @wes_kuruni: Sab corona se mar jayga sirf @elonmusk bachega because he is alone and has a mask too.
53,"Corona virus life at one place is 24 hrs and curfew is for 14 hours
So the public places and points where corona may live will be untouched for 14 hrs and break the chain.
Idea behind NAMOs janta curfew🙏"
54,"""Put a Mask On Your Face"" - Benny Benack III (Corona Parody) https://t.co/XBnX81YLtq via @YouTube"
55,A obvious uptick in deaths would be visible in the numbers. Does anyone have them? https://t.co/uPb3KyUu5b
56,"RT @Zimal23: #SaluteCoronaFighters

Delivering silhouettes to doctors from Pakistan who work to help those affected by the Corona virus"
57,@TheKanikakapoor I pray for ur sooner death from Corona
58,RT @kepikeps14: I think Cameroonians still think corona is a joke. We want to hear X amount of deaths before we start taking precautions wh…
59,RT @ScienceNews: A combination drug used to treat HIV failed to effectively treat people ill with pneumonia caused by COVID-19.  https://t.…
60,RT @NarrativeWizard: You cry foul on CAA but you prove that you are a bad citizen. Your behavior in the time of corona crisis is just too u…
61,I dont know who needs to hear this but NOT ALL ASIANS HAVE CORONA VIRUS stop treating them like shit you inhumane shits.
62,@Burak_legend78 @piersmorgan In Italy with a population exceeding 60 million what would the daily death rate be without corona. This is a genuine question btw. I’m trying to accumulate figures for a population of 60mill of births/deaths in a annual timeframe but would be helpful to break down the lineage
63,"Schools Churches and Mosques are being shut down, what happens to all the over populated prison inmates in Nigeria. They must not be neglected the are humans except NG govt. Want to sentence them all to death by Corona virus"
64,From the great GS PPP district west #ALI_AHMED special appeal to all residents of distt west after perform NAMAZ_E_JUMMA kindly heartily pray to God and beg a good health and speedy recovery for all affected patients from CORONA VIRUS...😥😥😥 https://t.co/c33b7MZb7w
65,"@free_thinker 

As corona virus life at one place is *12 hrs* and curfew is for *14 hrs*! So the places or points of public areas where  corona may live will not be touched for 14 hrs which wl certainly break d chain!

Is this true Sir ??"
66,"RT @sxdoc: Source:
University of Hamburg, Germany
# of deaths in the world in first 
2 months of 2020: 
2,360 : Corona virus
69,602 : Commo…"
67,"RT @dotunelias: USA, Italy, UK, and all of those countries you people are shouting about were badly affected by the Corona virus before the…"
68,"I am bored out of my brain talking about corona fucking virus now man,  low me 😩😩😩😩😭😭😭😭"
69,Lol there should not be any drug test after this corona shit! How else were we suppose to deal with this shit!
70,RT @jpmomof5: Children/teen resources. It's disgusting that we even need these resources. Children rely on the adults in their life to prot…
71,China has brought down corona virus.. no deaths in china and if they are minimal
72,"RT @tpstechin: Finally, there is some light in the darkness! All fingers crossed!!
 https://t.co/cXSxwrO6n5

#Coronafighters #CoronaVirusUp…"
73,RT @DillonFrancis: Someone please make a Corona Virus Challenge on tik tok where people stay inside for 30 days because at this point it’s…
74,"@sasi_ss As per Libtards - if any other country gets affected its because of Corona , but if India gets affected its because of Modi .  What a logic sirji"
75,"RT @SteveSayersOne: FYI Before our onset of #Coronavirus U.K. deaths were approximately 1,564 per day. We have had 144 Corona deaths in 15…"
76,These people should’ve been hiring people from before corona 🙄 everyday overwork staff https://t.co/FtYzrXwQ5F
77,Damn you Corona. I was breaking the seal after some @NorthlandVodka and was trying to figure out the angle my piss was going based the direction my body was facing #homeschool2020 #COVID19US @PowerTripKFAN
78,Upon directions of Deputy Commissioner Faisalabad Muhammad Ali Additional Deputy Commissioner Revenue Mian Aftab monitoring Control room setup which will be active 24hrs for Corona and providing relevant information to public. https://t.co/J6sWpI3BA9
79,The universe says this to human species everyday but we never listen. A taste of our own medicine https://t.co/55Iq3hrylT
80,32 deaths.. https://t.co/5J7Gnsq9xt
81,RT @shyamu024: They are more dangerous than corona virus. Corona virus took toll of only 4 lives in a period of 1 month but they killed 18…
82,"RT @ifeyinwa_kanu: @IntelliDigest, we empathise with everyone going through very challenging times as we work hard to overcome the Corona V…"
83,"Sad but reality.

Graduate of Microbiology that are supposed to be making research on this Corona virus COVID-19 in Nigeria, are Now tailors and makeup Artist.

#CoronaVirusInNigeria https://t.co/XD7n5dYi0n"
84,"This has been the absolute most miserable year of my life so far. At this point, not even the corona virus can scare me."
85,RT @5habb1r_p15cean: To sum up on corona: someone somewhere in China ate something and the whole world is washing thier hands over it🤷‍♀️ #…
86,@DhakaTribune For covid-19 every sector has been affected  and this  year will be  biggest challenge to recover  #Corona virus impact
87,"RT @AdvancedMaushi: When it has come down to their lives, they want the PM to announce a nationwide lockdown.
More than 40k+ killed for the…"
88,"I always feel like, somebody’s waaaaching meeeee 🕺🏼🎶👮🏼‍♂️👍🏼

#GoodNews https://t.co/gWP2z1HUVs"
89,RT @bizzlesluf: Justin went live to say a prayer for the whole world affected by corona outbreak. This is why he’s the most precious person…
90,@RajaAriff And I know this doesn’t matter but I got ghosted. And then all this corona virus is screwing with everything and everyday life for me and well obviously others as well
91,"RT @Cheexchee_: Hey God... just this reason alone, kill corona, single people will die of loneliness biko.😭😭"
92,"RT @Kaypoisson1: You and I are both alone so you are waiting for corona to take this vagina to asamando 

You want ants and millipedes to e…"
93,"I feel the sadness because of the suffering of the Italian government and people in the face of the dreaded epidemic of Corona. I pray to you to overcome this cruel ordeal.I hope all my friends are healthy, healthy and well-being"
94,"RT @THAYOJOSHUA: I’m depressed
I’m Lonely 
I’m tired of life 
But then Corona and suddenly no one wants to leave planet Earth😂😂"
95,@HeadlessHorror And shield your self from corona
96,"@StarbucksUK Would have been nice to include Job Centre staff, who are working hard to ensure everyone gets their benefit, especially those whose jobs are affected by the corona virus closures."
97,RT @RacerxJax: First he said there good Nazis and white supremacists. Then he talked about shit hole countries where primarily brown skin p…
98,Isn't it weird how right wingers object to expanding benefits and providing more protections until one of their own is affected? https://t.co/gegFncn2cs
99,What is the total package announced by cent. Govt to fight against Corona? Any body can give figure?
100,@roomaaa_x frr man this corona tings overdoing it at this point
101,@gator_bh @maggieNYT ...which is what this miracle drug? A six-pack of Corona Light?
102,Tbf I was heaaaaavy ill in December like death bed vibes but also wasn’t that bad https://t.co/ifqlQrJfwg
103,all I want is skip this Corona shit
104,@RantsByDesign Don't give up hope Biden is barely there mentally. Ifwe go to a contested convention we can push this especially with a recession or a new great depression and corona virus here. Let's see what July brings.
105,"RT @aneesafilisteen: #Palestinian prisoners in #Israeli jails include #Children, teens, women, men, elderly people, people with disabilitie…"
106,@ImranKhanPTI Miserable and sad Story of Corona in Manga.Finally the residents of the Area have been fedup becuase of the current lock down as there are no Medical and relief facilities provided to the residents and suspected affecties. https://t.co/DvwpjanO7j
107,"This corona- virus only really hurting niggas with jobs 😓😓, if u don’t got one this a normal day to you 😂😂😂💯"
108,RT @RepuTell: #Corona #CoronaVirusUpdate #Change ⁦@politico⁩ ⁦@AppleNews⁩ #important how life will be after #CoronaCrisis #Reputell  https:…
109,"RT @nadeemhaque: Instead of subjecting people to life threatening insanitary quarantine, They should let people self quarantine. Use a sign…"
110,I feel it☹️ https://t.co/AOf1RRxopr
111,"RT @The_Africanist: I'm sure the person handling this account, has had Corona, recovered and now wishes to kill us with anxiety through sta…"
112,@MorningLiveSABC are the Corona virus are going to be cured or?? We are in the line of death ☠
113,"RT @HniaziISF: Alone DC isbd is more active than whole Sindh govt. 
but since it’s about Govt vs Media plus opposition, Corona has been pol…"
114,RT @_RealThorough: This Corona Shit Is Fucking Up Everything
115,RT @BlackSapphic: It's really Europeans who brought the corona to the Caribbean and it will impact the Caribbean much harder bc it cannot s…
116,RT @senjatanuklir: WHY IS THE EMOJI SUGGESTION FOR CORONA IS THIS;; 🤴👑👸
117,"“The 1918–1919 influenza pandemic killed more people in absolute numbers than any other disease outbreak in history. A contemporary estimate put the death toll at 21 million, a figure that persists in the media today, but understates the real number.”

Corona got nothing on Us."
118,RT @monteiro: Racist piece of shit. https://t.co/qzzCr9ZRBz
119,"@MonkdWallidHonk @ClarkeMicah Spanish flu killed 25,000,000 and had a worldwide death rate of 2%.
Normal flu kills 0.001% of the UK population at MAXIMUM.
Corona virus is POTENTIALLY 5-10x worse.
Possibly. Maybe.
You CLEARLY cherry picking statistics out of thin air.
STOP."
120,"CA issue a stay-at-home order last night. This makes sense for covid19 control but it creates increased risk for child and adult victims of family violence, assault, and abuse.  We desperately need institutional courage to face this problem too.  Ideas?
https://t.co/cOOlpthhVZ"
121,"@TimesLIVE Bitch please, what about all the other laws?
More rapes and assaults and murders every day than deaths from Corona. #priorities #guavament #insufficientachievement"
122,"@WhiteHouse Mr president I wish if your office can stop this war in part of my country Cameroon, north west and south west, it's worse than Corona virus.prenant women, children and elderly and being killed daily. please help us.God bless you and God bless America"
123,Will Herpes Affect Contracting The Corona Virus? by @RationalVaxxer #SexualHealth #exploringsexuality #letstickle #sexuality #beingsexpositive #ticklelife #happytickling #sexpositiveworld #sexpositivity https://t.co/vDa1tzmEmH
124,RT @jarue369: The corona death toll they are predicting is Americans. It won't be a virus. No one stopped 9/11. No one was arrested. All of…
125,"RT @irfhabib: They have conveyed their point very powerfully. Can also continue after an urgent Corona break, which is essential for them a…"
126,RT @cemeterydrive69: the “is it corona or anxiety” saga continues
127,cause we did. what else would this shit be comparable to ? https://t.co/oWF4GSS0Di
128,I HAVE ALWAYS THOUGHT CHINA HAS NOT BEEN 100% HONEST ABOUT HOW LONG CORONA VIRUS HAD BEEN ACTIVE IN CHINA? I ALSO DOUBT THE NUMBER OF POSITIVE DIAGNOSES+ CORONA VIRUS DEATHS CHINA HAS BANDIED 2 THE WEST? AFTER ALL? MY SUSPICIONS ABOUT SOCIALISM? IS WELL FOUNDED!
129,"RT @CFLlightSabers: (10/n) The general physician at the hospital asked for my symptoms and I gave him a day-wise breakdown. 2 minutes in, h…"
130,"RT @qatarsocialwork: Find out how to deal with feelings of anxiety along with #Coronavirus outbreak and warnings.
Kindly watch this video…"
131,ABC should have one or two production guys recording everything happening with the quarantine crew in FL. Give me more Hannah B and Tyler to get me through this Corona depression. #BachelorNation #HannahBrown #tylercameron #TheBachelor
132,RT @AkankshaSpeakss: Italy reports more deaths than China. Now burying the bodies bigger concern than the treatment . #CoronaVirusUpdate #C…
133,"If you ate mud or had silver teeth as a kid, you’re immune to the corona virus"
134,"RT @SharjeelUsmani: How to escape Corona? Ft. @narendramodi govt

On March 22:
Indians to go on self imposed curfew and have to clap from b…"
135,@narendramodi Thanks for giving importance to woman but as per current record the corona virus death % of man is more than woman so i'll suggest to each and every person of world to stay safe.
136,"Death Due to Corona Virus

Enclosed by a pack, can't be bathed. Can't bring the body home, the family can't contact the body and can't watch unless it's buried.

Do you still think you should make meme or funny posts?

#CoronaStopKaroNa  #coronavirusindia #JanataCurfewMarch22 https://t.co/IWu1ctsDxq"
137,Corona virous se self defence https://t.co/KWZWewJqs5
138,"RT @HealthSamaa: 152 new cases of Coronavirus were confirmed in Pakistan between March 19 and 20, the most for any day. Total deaths stand…"
139,RT @MbaliBiach: You can get Corona Virus by kissing someone who’s infected. So have sex with your partner alone. Don’t jump around guys…
140,Greed will be the death of us. https://t.co/CNroIfu1gt
141,"RT @katta_news: Breaking: The 22 year doctor from Bhusawal, Jalgaon was battling for his life, he is on ventilator in sir JJ hospital in Mu…"
142,your typical politician does not have the balls to say what chemtrails are doing #corona #government #scare #tactics
143,"#RT @phocuswire: LIVE BLOG: Stranded Americans ""feel completely abandoned"" https://t.co/J7jI1V4MK2 
via 
@PhocusWire
 #coronavirus #coronavirusupdates #covid19 #corona #coronaviruspandemic"
144,"RT @mekkaokereke: I don't have to point out who Elon is anymore. He's out here showing y'all himself.

From ""Corona panic is dumb"" to ""ZOMG…"
145,"RT @AnteMemoriam: Will the upcoming Ramadan next month be affected by corona, maybe not the actual fasting itself, but what about the insan…"
146,"#CoronavirusOutbreakindia won’t affect Peacefools as the word Corona comes from Cooraan 🙈
Hence they are not afraid https://t.co/tqg68aRoKd"
147,RT @jacobinmag: The pharmaceutical industry has failed to develop a coronavirus cure. The privatized health care model can’t provide the dr…
148,"RT @omgshuddup: Before Corona virus self isolation: This sucks. At this rate I'm  never having the sex again.

During Corona virus self iso…"
149,"RT @AniMiaOfficial: It's sad that a lot friends joked that someone was going to be an insensitive idiot and cosplay a ""Corona chan"" for clo…"
150,"When you think you’re starting to get sick and can’t tell if it’s the corona virus,your depression acting up, or you’re just simply sick. 😳😳😳"
